name,style,abv,ibu,brewer_name,tipo
Schmucker Alkoholfrei,German-Style Leichtbier,0.4,17.0,Privat-Brauerei Schmucker,Lager
Schussenrieder Weisse alkoholfrei,German-Style Leichtbier,0.5,17.0,Schussenrieder Erlebnisbrauerei,Lager
Schützengold alkoholfrei,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Brauerei Schtzengarten,Lager
St. Pauli Non-Alcoholic,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Brauerei Beck,Lager
Star Blond,German-Style Leichtbier,0.4,17.0,Haacht,Lager
Staropramen Nealko,Flavored Malt Beverage,0.5,17.0,Pivovary Staropramen,Lager
TAP3 Mein Alkoholfrei,Non-Alcoholic (Beer) Malt Beverages,0.3,13.0,Schneider Weisse,Lager
Texas Select Non-Alcoholic Beer,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Richland Beverage Associates,Lager
Twist Shandy,Fruit Beer,0.9,17.0,Banks Barbados Brewery,Fruit
Veltins Alkoholfrei,German-Style Leichtbier,0.5,17.0,Brauerei C. & A. Veltins GmbH & Co.,Lager
Warsteiner Premium Alkoholfrei,German-Style Leichtbier,0.5,17.0,Warsteiner Brauerei,Lager
Weißbier Alkoholfrei,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,König Ludwig Schlossbrauerei Kaltenberg,Lager
Welde Hefeweizen Non-Alcoholic,South German-Style Hefeweizen / Hefeweissbier,0.4,10.0,Weldebräu GmbH & Co. KG,Wheat
Welde Naturradler Non-Alcoholic,Fruit Beer,0.2,15.0,Weldebräu GmbH & Co. KG,Fruit
Welde No1 Non-Alcoholic,German-Style Pilsener,0.4,25.0,Weldebräu GmbH & Co. KG,Lager
Winter Ale,American-Style India Pale Ale,1.1,40.0,D.L. Geary Brewing Company,India Pale Ale
