name,style,abv,ibu,brewer_name,tipo
Mannix,Belgian-Style Quadrupel,13.0,25.0,"Custom Brewcrafters, Inc.",Trappist
Manuel Fantastico Barley Wine,American-Style Barley Wine Ale,11.8,40.0,Holy City Brewing,Ale
Marfa Light,British-Style Imperial Stout,11.2,70.0,Big Bend Brewing Company,Stout
Marion Mead,Open Category Mead,13.5,1.0,Superstition Meadery,Mead
Marionberry Braggot,Braggot,11.4,25.0,Rogue Ales,Kolsch
Markland Batch 1000,American-Style Brown Ale,13.8,25.0,Revolution Brewing,Ale
MARSEDON,Belgian-Style Quadrupel,11.2,28.0,Blue Mountain Brewery,Trappist
Mash,American-Style Barley Wine Ale,12.5,15.0,The Bruery,Ale
Mash & Coconut,American-Style Barley Wine Ale,13.1,40.0,The Bruery,Ale
Mash & Grind,British-Style Barley Wine Ale,12.5,40.0,The Bruery,Ale
Mash & Vanilla,American-Style Barley Wine Ale,13.3,26.0,The Bruery,Ale
Massive!,American-Style Barley Wine Ale,12.0,40.0,Gigantic Brewing Company,Ale
Matryoshka,Wood- and Barrel-Aged Beer,12.0,60.0,Fort George Brewery,Stout
Maxxdout,American-Style Stout,13.0,60.0,Yellow Springs Brewery,Stout
Meatwhistle,American-Style Imperial Stout,11.2,50.0,Magic Hat Brewing Company,Stout
Mega Stout,Wood- and Barrel-Aged Dark Beer,13.0,60.0,Cigar City Brewing,Stout
Melange #8,Strong Ale,14.5,40.0,The Bruery,Ale
Mélange No. 12,Wood- and Barrel-Aged Beer,16.8,60.0,The Bruery,Stout
Mélange No. 14,Wood- and Barrel-Aged Beer,13.4,60.0,The Bruery,Stout
Mélange No. 15,American-Style Barley Wine Ale,14.8,40.0,The Bruery,Ale
Mélange No. 3,Strong Ale,15.3,40.0,The Bruery,Ale
Melchior Oak Aged in Calvados Barrels,Belgian-Style Pale Strong Ale,11.5,40.0,Alvinne Picobrouwerij,Ale
Mephistopheles',American-Style Stout,15.1,80.0,Avery Brewing Company,Stout
MerLe SAiSON NoCTURNUM REGAL,French & Belgian-Style Saison,12.2,55.0,TRiNiTY Brewing,Session
Mexican Siberius Maximus,American-Style Imperial Stout,12.5,60.0,Wrecking Bar Brewpub,Stout
Michigan Maple Jesus,American-Style Stout,12.0,60.0,Evil Twin Brewing,Stout
Midnight Cab,French & Belgian-Style Saison,75.0,55.0,Rahr & Sons Brewing Company,Session
Midnight Dream,American-Style Imperial Stout,16.0,80.0,The Dayton Beer Company,Stout
Miel de Garde,Dry Mead,14.0,1.0,B. Nektar Meadery,Mead
Miel Noir,Open Category Mead,12.0,1.0,Celestial Meads,Mead
Mijlpaal,Imperial Red Ale,12.0,94.0,Evil Horse Brewing Company,Ale
Mikhail's Odd (Bourbon Barrel Aged),American-Style Imperial Stout,13.9,60.0,Stone Brewing,Stout
Mine Is Bigger Than Yours,American-Style Barley Wine Ale,12.5,40.0,To Øl,Ale
Minor Dementia,Wood- and Barrel-Aged Beer,13.0,60.0,Blue and Gray Brewing Co,Stout
Mint Micro Chip,Sweet or Cream Stout,12.2,60.0,Tin Man Brewing Company,Stout
Mister Mayor,American-Style Imperial Stout,11.5,60.0,Chocolate City Beer,Stout
MOAB (Mother Of All Bettys),American-Style Imperial Stout,12.7,60.0,Nebraska Brewing Company,Stout
Mob Barley,American-Style Barley Wine Ale,11.6,175.0,Meadowlark Brewing,Ale
Mocha Wednesday,American-Style Imperial Stout,19.2,60.0,The Bruery,Stout
Mokah,American-Style Imperial Stout,11.2,60.0,Southern Tier Brewing Company,Stout
Mole Oil Spiller,American-Style Imperial Stout,11.9,60.0,Hopcat,Stout
Molotov Cocktail,Imperial or Double India Pale Ale,13.0,40.0,Evil Twin Brewing,India Pale Ale
Molotov Cocktail Heavy,Imperial or Double India Pale Ale,17.2,40.0,Evil Twin Brewing,India Pale Ale
Molotov Cocktail Single Simcoe Hop Edition,Imperial or Double India Pale Ale,13.0,40.0,Evil Twin Brewing,India Pale Ale
Molotov Surprise,Imperial or Double India Pale Ale,12.0,40.0,Evil Twin Brewing,India Pale Ale
Monk's Mistress,Other Belgian-Style Ales,11.5,13.0,Midnight Sun Brewing Company,Ale
Monkey Paw Kong Barleywine,American-Style Barley Wine Ale,11.8,40.0,Monkey Paw Brewing,Ale
MONOLITH,Wood- and Barrel-Aged Strong Beer,12.0,50.0,Brewery Rickoli,Ale
Monster 29,American-Style Barley Wine Ale,18.0,40.0,Dark Horse Brewing Company,Ale
Monsters' Park,American-Style Imperial Stout,12.0,60.0,Modern Times Beer,Stout
Monstrosity,Imperial or Double India Pale Ale,11.2,100.0,Valhöll Brewing,India Pale Ale
Monstrosus,American-Style Imperial Stout,14.7,60.0,Southern Tier Brewing Company,Stout
Montro,American-Style Imperial Stout,11.2,60.0,NoDa Brewing Company,Stout
Moon Dog Barley Wine,American-Style Barley Wine Ale,11.5,40.0,Big Dog's Brewing Company,Ale
Moon Phase,Belgian-Style Quadrupel,13.0,30.0,Fort Point Beer Company,Trappist
Moonlit Shadows,American-Style Imperial Stout,12.8,60.0,Powder Keg Brewing,Stout
Moose Killer Barleywine Style Ale,British-Style Barley Wine Ale,12.0,90.0,Tampa Bay Brewing Company,Ale
Mornin' Delight,Sweet or Cream Stout,12.0,60.0,Toppling Goliath Brewing Company,Stout
Morning Wood,American-Style Imperial Porter,13.0,50.0,Funky Buddha Brewery,Porter
Moscatel Barrel Aged Dark Lord,American-Style Imperial Stout,15.0,60.0,Three Floyds Brewing Company,Stout
Most Most Premium Russian Imperial Stout,American-Style Imperial Stout,11.5,60.0,Gigantic Brewing Company,Stout
Mother of all Storms,American-Style Barley Wine Ale,13.5,40.0,Pelican Brewing Company,Ale
Mountain Man,Wood- and Barrel-Aged Strong Beer,11.8,60.0,Verboten Brewing,Ale
Mouth Menace,Imperial or Double India Pale Ale,11.6,40.0,Bootlegger's Brewery,India Pale Ale
Mr. Boneworthy's Barleywine,American-Style Barley Wine Ale,11.5,40.0,Main Street Brewery,Ale
